text,label,predicted_sentiment
Schizophrenia is characterized by persistent delusions that disrupt an individual’s ability to engage with reality.,negative,negative
"Major depressive disorder significantly impairs cognitive and emotional functioning, often leading to persistent feelings of hopelessness.",negative,negative
Auditory hallucinations in schizophrenia frequently involve distressing voices that contribute to severe emotional distress.,negative,negative
"Depression is associated with dysregulation of the hypothalamic-pituitary-adrenal axis, leading to chronic stress responses.",negative,negative
"Negative symptoms of schizophrenia, such as anhedonia and avolition, drastically reduce quality of life.",negative,negative
Persistent depressive disorder results in long-term emotional dysregulation and impaired social functioning.,negative,negative
Cognitive deficits in schizophrenia often prevent individuals from maintaining employment or independent living.,negative,negative
The chronic nature of depression increases the risk of suicide and self-harm behaviors.,negative,negative
"Schizophrenia is frequently associated with anosognosia, leading to poor treatment adherence.",negative,negative
"Major depressive disorder is a leading cause of disability worldwide, impairing daily functioning.",negative,negative
Hallucinations and delusions in schizophrenia contribute to profound social withdrawal and isolation.,negative,negative
"Depression leads to decreased neurogenesis in the hippocampus, further exacerbating cognitive decline.",negative,negative
"Individuals with schizophrenia often experience severe emotional blunting, impairing interpersonal relationships.",negative,negative
Suicide rates among individuals with major depressive disorder are significantly elevated compared to the general population.,negative,positive
"Schizophrenia is linked to increased oxidative stress, contributing to neural dysfunction.",negative,negative
"Treatment-resistant depression poses a major challenge, as standard pharmacological interventions often fail.",negative,negative
The social stigma associated with schizophrenia prevents many individuals from seeking adequate care.,negative,positive
"Chronic depression is linked to increased inflammation, which may further exacerbate mood disturbances.",negative,negative
The cognitive impairments associated with schizophrenia lead to difficulties in executive function and memory.,negative,negative
"Depression is frequently comorbid with anxiety disorders, worsening prognosis and treatment outcomes.",negative,negative
"Long-term schizophrenia is associated with structural brain changes, including reduced gray matter volume.",negative,negative
The recurrence of major depressive episodes increases the risk of future mood instability.,negative,negative
Individuals with schizophrenia have a significantly shorter life expectancy due to comorbid medical conditions and suicide risk.,negative,negative
Depression-related fatigue often results in significant impairments in occupational and social domains.,negative,negative
"Antipsychotic medications for schizophrenia often cause debilitating side effects, reducing patient compliance.",negative,negative
"Persistent depressive disorder often remains undiagnosed due to its chronic, insidious onset.",negative,positive
The unpredictability of psychotic episodes in schizophrenia creates a persistent sense of fear and instability.,negative,positive
"Depression has been linked to deficits in reward processing, leading to an inability to experience pleasure.",negative,negative
